K,call_bid,call_ask,call_mid_impl_vol,call_volm,cost_of_carry,moneyness,put_bid,put_ask,put_mid_impl_vol,put_volm,underlying_price,Expiry,T,q,r,call_mid,put_mid,pv_dividends,carry_val
6285,374.1000977,376.699951171875,0.236987133026123,0,0.028710508346557598,0.944547407302607,2.300000191,2.44999980926514,0.251742763519287,10,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,375.4000244359375,2.37500000013257,0.0076,6655.05
6290,369.1999512,371.800048828125,0.235323085784912,0,0.028733348846435497,0.945298837220907,2.349999428,2.5,0.249822196960449,35,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,370.5000000140625,2.424999714,0.0076,6655.05
6295,364.1999512,366.800048828125,0.233576984405518,0,0.0287561893463135,0.9460502671392069,2.400000572,2.55000019073486,0.247691249847412,72,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,365.5000000140625,2.47500038136743,0.0076,6655.05
6300,359.2998047,361.89990234375,0.229661693572998,31,0.028779029846191403,0.946801697057506,2.449999809,2.59999942779541,0.24574851989746102,1991,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,360.599853521875,2.524999618397705,0.0076,6655.05
6305,354.2998047,356.699951171875,0.239281120300293,0,0.028801870346069302,0.9475531269758061,2.5,2.64999961853027,0.244380226135254,29,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,355.4998779359375,2.574999809265135,0.0076,6655.05
6310,349.3999023,351.89990234375,0.22918350219726602,0,0.0288247108459473,0.948304556894105,2.550000191,2.75,0.242231540679932,14,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,350.649902321875,2.6500000955000003,0.0076,6655.05
6315,344.5,347.0,0.231020069122314,0,0.0288475513458252,0.9490559868124051,2.600000381,2.80000019073486,0.240111484527588,61,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,345.75,2.7000002858674303,0.0076,6655.05
6320,339.5,342.10009765625,0.23221004486084,0,0.0288703918457031,0.949807416730705,2.649999619,2.85000038146973,0.238315391540527,224,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,340.800048828125,2.750000000234865,0.0076,6655.05
6325,334.5998535,337.099853515625,0.22147884368896498,4,0.0288932323455811,0.950558846649004,2.75,2.90000057220459,0.236232299804688,140,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,335.8498535078125,2.825000286102295,0.0076,6655.05
6330,329.6999512,332.099853515625,0.219547729492188,1,0.028916072845459002,0.9513102765673039,2.799999237,2.94999980926514,0.234241542816162,54,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,330.8999023578125,2.87499952313257,0.0076,6655.05
6335,324.6999512,327.10009765625,0.228064918518066,0,0.0289389133453369,0.9520617064856031,2.850000381,3.10000038146973,0.232738361358643,50,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,325.900024428125,2.975000381234865,0.0076,6655.05
6340,319.7998047,322.199951171875,0.223850402832031,0,0.0289617538452148,0.952813136403903,2.949999809,3.10000038146973,0.23048259735107401,41,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,320.9998779359375,3.025000095234865,0.0076,6655.05
6345,314.3000488,316.39990234375,0.21764156341552698,0,0.0289845943450928,0.953564566322203,3.0,3.19999980926514,0.227832813262939,33,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,315.349975571875,3.09999990463257,0.0076,6655.05
6350,309.8000488,311.5,0.215503196716309,11,0.0290074348449707,0.9543159962405019,3.100000381,3.30000019073486,0.22619798660278298,2125,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,310.6500244,3.2000002858674303,0.0076,6655.05
6355,304.8999023,306.60009765625,0.214123859405518,0,0.029030275344848602,0.955067426158802,3.100000381,3.40000057220459,0.22442823410034202,7,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,305.749999978125,3.250000476602295,0.0076,6655.05
6360,300.0,301.699951171875,0.211814441680908,5,0.0290531158447266,0.955818856077101,3.199999809,3.5,0.222961502075195,38,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,300.8499755859375,3.3499999044999997,0.0076,6655.05
6365,295.2998047,297.10009765625,0.20955553054809598,0,0.0290759563446045,0.956570285995401,3.300000191,3.60000038146973,0.22045036315918,0,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,296.199951178125,3.4500002862348653,0.0076,6655.05
6370,290.1999512,291.89990234375,0.208661594390869,4,0.0290987968444824,0.9573217159137011,3.400000572,3.60000038146973,0.218369083404541,81,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,291.049926771875,3.500000476734865,0.0076,6655.05
6375,285.3000488,287.0,0.21325611114502,1,0.0291216373443604,0.958073145832,3.599999428,3.79999923706055,0.217356548309326,171,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,286.1500244,3.699999332530275,0.0076,6655.05
6380,280.3999023,282.10009765625,0.21138492584228502,1,0.0291444778442383,0.9588245757503,3.600000381,3.90000057220459,0.21483570098877,109,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,281.249999978125,3.750000476602295,0.0076,6655.05
6385,275.5,277.199951171875,0.20478174209594702,0,0.029167318344116202,0.9595760056685989,3.699999809,4.0,0.213351745605469,1,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,276.3499755859375,3.8499999044999997,0.0076,6655.05
6390,270.6000977,272.300048828125,0.202321376800537,0,0.0291901588439941,0.960327435586899,3.799999237,4.09999942779541,0.21101713180542,165,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,271.4500732640625,3.949999332397705,0.0076,6655.05
6395,266.0,267.5,0.201637573242188,0,0.0292129993438721,0.9610788655051989,4.0,4.19999980926514,0.20922388076782203,13,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,266.75,4.09999990463257,0.0076,6655.05
6400,261.0998535,263.199951171875,0.20488664627075198,16,0.02923583984375,0.961830295423498,4.100000381,4.30000019073486,0.207257099151611,1682,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,262.1499023359375,4.20000028586743,0.0076,6655.05
6405,256.1000977,257.699951171875,0.19817378997802698,0,0.0292586803436279,0.9625817253417981,4.199999809,4.5,0.205913200378418,76,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,256.9000244359375,4.349999904500001,0.0076,6655.05
6410,251.3999939,253.800003051758,0.201597766876221,0,0.0292815208435059,0.963333155260098,4.400000572,4.60000038146973,0.20368701934814498,37,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,252.599998475879,4.500000476734865,0.0076,6655.05
6415,246.5,248.600006103516,0.19982242584228502,0,0.029304361343383798,0.964084585178397,4.5,4.80000019073486,0.201886253356934,53,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,247.55000305175798,4.65000009536743,0.0076,6655.05
6420,241.6999969,243.199996948242,0.19848491668701201,0,0.0293272018432617,0.9648360150966969,4.699999809,4.89999961853027,0.200199699401855,208,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,242.449996924121,4.799999713765136,0.0076,6655.05
6425,236.8999939,239.0,0.191535606384277,0,0.0293500423431396,0.965587445014996,4.800000191,5.10000038146973,0.198193111419678,1954,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,237.94999695,4.950000286234864,0.0076,6655.05
6430,232.0,234.5,0.19021890640258798,0,0.0293728828430176,0.966338874933296,5.0,5.19999980926514,0.19654136657714802,310,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,233.25,5.09999990463257,0.0076,6655.05
6435,227.1999969,229.699996948242,0.188324909210205,0,0.0293957233428955,0.967090304851596,5.199999809,5.40000057220459,0.194616298675537,8,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,228.449996924121,5.3000001906022955,0.0076,6655.05
6440,222.3999939,223.899993896484,0.18590347290039103,0,0.0294185638427734,0.967841734769895,5.400000572,5.60000038146973,0.193247184753418,396,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,223.149993898242,5.500000476734865,0.0076,6655.05
6445,217.5,219.100006103516,0.184337062835693,0,0.029441404342651398,0.968593164688195,5.599999428,5.80000019073486,0.191146278381348,66,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,218.30000305175798,5.69999980936743,0.0076,6655.05
6450,212.1999969,214.300003051758,0.18401119232177698,0,0.0294642448425293,0.969344594606494,5.800000191,6.0,0.18934514999389598,3282,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,213.249999975879,5.900000095499999,0.0076,6655.05
6455,208.1000061,210.5,0.182136459350586,0,0.0294870853424072,0.970096024524794,6.0,6.30000019073486,0.188048458099365,314,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,209.30000305,6.15000009536743,0.0076,6655.05
6460,203.3000031,204.800003051758,0.184612197875977,0,0.0295099258422852,0.9708474544430941,6.199999809,6.5,0.186441974639893,241,6654.86,10/17/2025 16:20,0.011195987654320989,0.01038,0.04165,204.050003075879,6.349999904500001,0.0076,6655.05
